,Date,Price,Open,High,Low,Vol.,Change %
366,2019-05-01,73.381,74.225,75.282,71.935,98.98K,-1.13%
365,2019-05-02,73.673,73.381,74.357,72.779,65.53K,0.40%
364,2019-05-03,79.275,73.673,80.541,73.393,155.29K,7.60%
363,2019-05-04,77.772,79.275,82.635,74.778,165.91K,-1.90%
362,2019-05-05,75.627,77.772,78.041,75.446,91.15K,-2.76%
361,2019-05-06,74.923,75.645,76.917,71.654,157.46K,-0.93%
360,2019-05-07,74.601,74.923,78.661,73.745,201.05K,-0.43%
359,2019-05-08,74.422,74.617,75.404,72.583,146.88K,-0.24%
358,2019-05-09,74.161,74.384,75.832,72.859,91.05K,-0.35%
357,2019-05-10,77.176,74.161,79.36,72.723,176.66K,4.07%
356,2019-05-11,88.074,77.042,95.516,77.042,384.73K,14.12%
355,2019-05-12,84.885,87.879,93.87,83.719,384.43K,-3.62%
354,2019-05-13,87.67,84.856,87.84,84.341,168.82K,3.28%
353,2019-05-14,87.67,84.856,87.84,84.341,168.82K,0%
352,2019-05-15,102.073,91.848,103.895,91.301,293.42K,16.43%
351,2019-05-16,95.432,102.025,106.947,91.146,270.48K,-6.51%
350,2019-05-17,89.629,95.432,97.302,84.3,218.98K,-6.08%
349,2019-05-18,86.576,89.629,90.354,85.193,111.90K,-3.41%
348,2019-05-19,94.572,86.598,96.742,86.18,130.32K,9.24%
347,2019-05-20,91.041,94.637,94.637,87.156,121.70K,-3.73%
346,2019-05-21,90.875,91.022,92.908,88.843,66.50K,-0.18%
345,2019-05-22,87.767,90.777,91.917,86.035,91.15K,-3.42%
344,2019-05-23,88.572,87.767,89.454,84.796,94.55K,0.92%
343,2019-05-24,100.494,88.572,103.564,88.059,218.88K,13.46%
342,2019-05-25,102.662,100.46,104.898,98.88,146.46K,2.16%
341,2019-05-26,111.001,102.629,113.888,98.895,158.50K,8.12%
340,2019-05-27,116.47,111.001,121.865,110.026,265.13K,4.93%
339,2019-05-28,114.716,116.404,118.999,111.527,128.64K,-1.51%
338,2019-05-29,115.085,114.716,118.101,108.821,125.00K,0.32%
337,2019-05-30,108.464,115.085,120,103.297,230.07K,-5.75%
336,2019-05-31,114.574,108.29,114.816,104.857,168.59K,5.63%
335,2019-06-01,112.45,114.574,116.133,111,85.01K,-1.85%
334,2019-06-02,114.356,112.45,116.255,111.336,106.62K,1.69%
333,2019-06-03,106.266,114.38,116.019,105.2,173.09K,-7.07%
332,2019-06-04,102.211,106.083,106.739,98.335,223.59K,-3.82%
331,2019-06-05,103.575,102.211,105.106,100.21,120.77K,1.33%
330,2019-06-06,110.972,103.575,111.858,101.27,143.10K,7.14%
329,2019-06-07,116.619,111.043,120.637,109.564,157.89K,5.09%
328,2019-06-08,117.949,116.619,119.462,113.614,110.49K,1.14%
327,2019-06-09,114.713,117.916,118.816,111.425,93.83K,-2.74%
326,2019-06-10,129.215,114.713,130,112.678,228.35K,12.64%
325,2019-06-11,135.62,129.215,138.349,125.238,174.06K,4.96%
324,2019-06-12,135.375,135.62,142.856,130.16,208.36K,-0.18%
323,2019-06-13,130.586,135.302,136.414,128.102,117.08K,-3.54%
322,2019-06-14,132.087,130.607,132.976,125.626,141.57K,1.15%
321,2019-06-15,137.516,132.087,139.189,132,102.82K,4.11%
320,2019-06-16,136.392,137.48,137.974,133.277,118.50K,-0.82%
319,2019-06-17,133.8,136.392,136.626,131.905,84.87K,-1.90%
318,2019-06-18,135.216,133.8,136.642,128.355,144.38K,1.06%
317,2019-06-19,136.376,135.216,139.315,133.61,122.53K,0.86%
316,2019-06-20,135.499,136.415,136.749,133.25,100.50K,-0.64%
315,2019-06-21,138.512,135.499,140.852,135.499,129.68K,2.22%
314,2019-06-22,142.3,138.512,145.632,137.09,199.75K,2.73%
313,2019-06-23,137.676,142.274,143.074,136.475,119.84K,-3.25%
312,2019-06-24,135.724,137.722,137.722,133.036,97.21K,-1.42%
311,2019-06-25,136.187,135.724,138.488,130.4,132.77K,0.34%
310,2019-06-26,132.22,136.187,138.5,128.454,187.81K,-2.91%
309,2019-06-27,116.168,132.382,133.548,111.922,339.24K,-12.14%
308,2019-06-28,120.117,116.168,122.115,114.916,125.58K,3.40%
307,2019-06-29,133.871,120.117,136.58,116.485,196.03K,11.45%
306,2019-06-30,122.803,133.871,137.127,120.701,242.83K,-8.27%
305,2019-07-01,123.158,122.803,127.039,114.086,164.88K,0.29%
304,2019-07-02,118.624,123.173,123.924,112.784,112.49K,-3.68%
303,2019-07-03,121.39,118.733,123.096,117.15,70.00K,2.33%
302,2019-07-04,119.648,121.406,126.577,118.629,86.23K,-1.44%
301,2019-07-05,118.231,119.648,120.822,116.485,73.44K,-1.18%
300,2019-07-06,118.301,118.231,121.565,117.238,52.41K,0.06%
299,2019-07-07,119.696,118.301,120.274,117.1,37.12K,1.18%
298,2019-07-08,123.036,119.696,125.034,117.943,42.30K,2.79%
297,2019-07-09,119.15,122.831,123.817,117.793,81.21K,-3.16%
296,2019-07-10,108.373,119.15,120.054,102.15,178.74K,-9.04%
295,2019-07-11,102.953,108.373,108.373,95.299,180.06K,-5.00%
294,2019-07-12,104.732,102.962,106.923,100.764,49.29K,1.73%
293,2019-07-13,101.214,104.732,104.867,97.755,63.94K,-3.36%
292,2019-07-14,89.677,101.214,101.793,87.877,194.02K,-11.40%
291,2019-07-15,90.396,89.736,92.851,84.791,232.96K,0.80%
290,2019-07-16,79.564,90.396,91.854,76.747,242.35K,-11.98%
289,2019-07-17,90.139,79.564,94.39,76.871,233.91K,13.29%
288,2019-07-18,101.029,90.139,104.259,86.985,317.43K,12.08%
287,2019-07-19,98.438,101.029,101.152,94.912,162.29K,-2.56%
286,2019-07-20,100.342,98.438,105.372,97.42,115.75K,1.93%
285,2019-07-21,99.711,100.361,101.365,96.453,95.89K,-0.63%
284,2019-07-22,95.248,99.711,100.804,91.327,159.44K,-4.48%
283,2019-07-23,90.192,95.311,95.311,88.676,124.89K,-5.31%
282,2019-07-24,94.371,90.218,97.324,87.255,234.88K,4.63%
281,2019-07-25,93.14,94.371,96.461,91.506,85.18K,-1.30%
280,2019-07-26,94.14,93.14,94.383,90.129,60.32K,1.07%
279,2019-07-27,88.754,94.14,95.94,86.965,95.52K,-5.72%
278,2019-07-28,89.704,88.78,90.879,84.028,74.50K,1.07%
277,2019-07-29,90.426,90.182,92.16,87.708,63.56K,0.80%
276,2019-07-30,90.319,90.426,92.546,88.635,42.60K,-0.12%
275,2019-07-31,98.785,90.319,99.861,89.873,71.64K,9.37%
274,2019-08-01,98.621,98.785,100.365,95.831,60.63K,-0.17%
273,2019-08-02,94.838,98.621,98.692,92.621,43.66K,-3.84%
272,2019-08-03,94.091,94.838,96.636,93.642,41.46K,-0.79%
271,2019-08-04,92.546,94.091,94.688,90.339,42.50K,-1.64%
270,2019-08-05,96.57,92.546,106.622,92.546,159.12K,4.35%
269,2019-08-06,93.13,96.57,99.33,91.26,84.82K,-3.56%
268,2019-08-07,90.418,93.13,94.299,87.765,82.09K,-2.91%
267,2019-08-08,90.127,90.418,92.579,87.933,230.76K,-0.32%
266,2019-08-09,84.303,90.142,90.448,82.825,576.97K,-6.46%
265,2019-08-10,85.47,84.265,87.467,82.523,594.97K,1.38%
264,2019-08-11,89.791,85.47,91.512,85.181,483.61K,5.06%
263,2019-08-12,85.84,89.923,90.014,85.515,489.13K,-4.40%
