,Date,Price,Open,High,Low,Vol.,Change %
366,2019-05-01,5384.2,"5,321.1","5,396.3","5,319.5",623.64K,1.19%
365,2019-05-02,5493.8,"5,384.6","5,530.8","5,370.0",722.23K,2.04%
364,2019-05-03,5766.8,"5,493.6","5,844.2","5,478.7",1.04M,4.97%
363,2019-05-04,5830.9,"5,768.0","5,899.2","5,605.0",920.61K,1.11%
362,2019-05-05,5774.9,"5,830.8","5,838.2","5,708.2",709.02K,-0.96%
361,2019-05-06,5745.1,"5,775.1","5,801.4","5,630.5",755.39K,-0.52%
360,2019-05-07,5849.5,"5,745.5","6,019.8","5,745.5",955.88K,1.82%
359,2019-05-08,5990.3,"5,849.4","6,011.3","5,799.1",757.13K,2.41%
358,2019-05-09,6191.5,"5,990.5","6,206.0","5,990.0",799.96K,3.36%
357,2019-05-10,6386.0,"6,194.3","6,466.6","6,157.8",907.94K,3.14%
356,2019-05-11,7190.3,"6,386.6","7,373.8","6,386.5",1.31M,12.59%
355,2019-05-12,6984.8,"7,190.0","7,518.9","6,802.6",1.35M,-2.86%
354,2019-05-13,7806.0,"6,984.7","8,058.3","6,893.1",1.20M,11.76%
353,2019-05-14,7994.6,"7,806.4","8,323.9","7,674.0",1.33M,2.42%
352,2019-05-15,8164.6,"7,994.8","8,225.3","7,856.5",1.13M,2.13%
351,2019-05-16,7871.8,"8,164.8","8,293.3","7,720.4",1.18M,-3.59%
350,2019-05-17,7359.5,"7,871.9","7,924.0","6,998.6",1.43M,-6.51%
349,2019-05-18,7262.6,"7,359.9","7,458.5","7,189.4",865.53K,-1.32%
348,2019-05-19,8157.2,"7,261.9","8,253.4","7,252.3",1.08M,12.32%
347,2019-05-20,7965.3,"8,156.4","8,156.4","7,604.0",958.81K,-2.35%
346,2019-05-21,7930.3,"7,965.0","8,056.8","7,813.2",804.88K,-0.44%
345,2019-05-22,7635.7,"7,928.7","7,999.0","7,545.9",821.40K,-3.72%
344,2019-05-23,7852.1,"7,637.2","7,939.1","7,486.8",815.14K,2.83%
343,2019-05-24,7970.1,"7,852.8","8,124.1","7,775.4",868.47K,1.50%
342,2019-05-25,8027.4,"7,971.4","8,090.1","7,919.1",691.27K,0.72%
341,2019-05-26,8630.2,"8,029.6","8,718.6","7,866.5",872.12K,7.51%
340,2019-05-27,8760.1,"8,628.9","8,902.8","8,607.3",907.96K,1.51%
339,2019-05-28,8716.3,"8,759.4","8,794.1","8,568.8",763.20K,-0.50%
338,2019-05-29,8647.8,"8,715.6","8,747.2","8,435.3",15.43M,-0.79%
337,2019-05-30,8271.9,"8,647.8","9,045.9","8,054.7",1.04M,-4.35%
336,2019-05-31,8558.3,"8,271.4","8,578.8","8,135.0",858.41K,3.46%
335,2019-06-01,8545.7,"8,556.9","8,615.8","8,454.0",686.75K,-0.15%
