,Price,Date
190,59770.0,2020-09-05 09:19:41.898210+00:00
778,59770.0,2020-09-05 09:29:21.148721+00:00
1366,59770.0,2020-09-05 09:31:34.762005+00:00
2092,62850.0,2020-09-06 04:33:00.411017+00:00
2540,62850.0,2020-09-06 04:34:00.427672+00:00
3003,62850.0,2020-09-06 04:35:00.663155+00:00
3519,62850.0,2020-09-06 04:36:00.427074+00:00
4069,62850.0,2020-09-06 04:37:00.478986+00:00
4623,62850.0,2020-09-06 04:38:00.499064+00:00
5178,62850.0,2020-09-06 04:39:00.465814+00:00
5735,62850.0,2020-09-06 04:40:00.572835+00:00
6293,62850.0,2020-09-06 04:41:00.525321+00:00
6851,62775.0,2020-09-06 04:42:00.445052+00:00
7412,62525.0,2020-09-06 04:43:00.458654+00:00
7973,62525.0,2020-09-06 04:44:00.554128+00:00
8535,62525.0,2020-09-06 04:45:00.488313+00:00
9097,62525.0,2020-09-06 04:46:00.508877+00:00
9659,62525.0,2020-09-06 04:47:00.536078+00:00
10221,62525.0,2020-09-06 04:48:00.473206+00:00
10783,62525.0,2020-09-06 04:49:00.562770+00:00
11345,62525.0,2020-09-06 04:50:00.525781+00:00
11909,62525.0,2020-09-06 04:51:00.483546+00:00
12473,62525.0,2020-09-06 04:52:00.460834+00:00
13037,62525.0,2020-09-06 04:53:00.476541+00:00
13601,62525.0,2020-09-06 04:54:00.510347+00:00
14165,62425.0,2020-09-06 04:55:00.470669+00:00
14729,62425.0,2020-09-06 04:56:00.522515+00:00
15293,62425.0,2020-09-06 04:57:00.475225+00:00
15857,62425.0,2020-09-06 04:58:00.510180+00:00
16422,62425.0,2020-09-06 04:59:00.619788+00:00
16988,62425.0,2020-09-06 05:00:00.604794+00:00
17554,62425.0,2020-09-06 05:01:00.533516+00:00
18120,62200.0,2020-09-06 05:02:00.487033+00:00
18686,62200.0,2020-09-06 05:03:00.504794+00:00
19252,62200.0,2020-09-06 05:04:00.530719+00:00
19818,62200.0,2020-09-06 05:05:00.525646+00:00
20385,62200.0,2020-09-06 05:06:00.532808+00:00
20952,62200.0,2020-09-06 05:07:00.529472+00:00
21519,62200.0,2020-09-06 05:08:00.515950+00:00
22086,62200.0,2020-09-06 05:09:00.570488+00:00
22654,62200.0,2020-09-06 05:10:00.517935+00:00
23223,62200.0,2020-09-06 05:11:00.467028+00:00
23792,62200.0,2020-09-06 05:12:00.488671+00:00
24361,62200.0,2020-09-06 05:13:00.522725+00:00
24930,62200.0,2020-09-06 05:14:00.493965+00:00
25499,62200.0,2020-09-06 05:15:00.498351+00:00
26068,62200.0,2020-09-06 05:16:00.481614+00:00
26637,62200.0,2020-09-06 05:17:00.483291+00:00
27207,62200.0,2020-09-06 05:18:00.489682+00:00
27777,62200.0,2020-09-06 05:19:00.517515+00:00
28347,62200.0,2020-09-06 05:20:00.500592+00:00
28918,62200.0,2020-09-06 05:21:00.497714+00:00
29489,62200.0,2020-09-06 05:22:00.481761+00:00
30060,62200.0,2020-09-06 05:23:00.491119+00:00
30631,62200.0,2020-09-06 05:24:00.545130+00:00
31202,62200.0,2020-09-06 05:25:00.552932+00:00
31773,62200.0,2020-09-06 05:26:00.503771+00:00
32345,62200.0,2020-09-06 05:27:00.506407+00:00
32918,62200.0,2020-09-06 05:28:00.498212+00:00
33491,62200.0,2020-09-06 05:29:00.511618+00:00
34064,62200.0,2020-09-06 05:30:00.557602+00:00
34637,62200.0,2020-09-06 05:31:00.549320+00:00
35210,62200.0,2020-09-06 05:32:00.540608+00:00
35784,62200.0,2020-09-06 05:33:00.533882+00:00
36358,62200.0,2020-09-06 05:34:00.581188+00:00
36932,62200.0,2020-09-06 05:35:00.529277+00:00
37506,62200.0,2020-09-06 05:36:00.531599+00:00
38080,62200.0,2020-09-06 05:37:00.516519+00:00
38654,62195.0,2020-09-06 05:38:00.545378+00:00
39228,62195.0,2020-09-06 05:39:00.547747+00:00
39802,62195.0,2020-09-06 05:40:00.561220+00:00
40376,62195.0,2020-09-06 05:41:00.533581+00:00
40950,62090.0,2020-09-06 05:42:00.527860+00:00
41524,62090.0,2020-09-06 05:43:00.544530+00:00
42098,62025.0,2020-09-06 05:44:00.585591+00:00
42672,62025.0,2020-09-06 05:45:00.572992+00:00
43246,62025.0,2020-09-06 05:46:00.668308+00:00
