,Price,Date
103,8675.0,2020-09-05 09:19:41.890156+00:00
691,8675.0,2020-09-05 09:29:21.140723+00:00
1279,8675.0,2020-09-05 09:31:34.753002+00:00
2178,8855.0,2020-09-06 04:33:00.412894+00:00
2626,8855.0,2020-09-06 04:34:00.429303+00:00
3094,8865.0,2020-09-06 04:35:00.664906+00:00
3435,8910.0,2020-09-06 04:36:00.425053+00:00
3985,8940.0,2020-09-06 04:37:00.477350+00:00
4539,8955.0,2020-09-06 04:38:00.497461+00:00
5094,8955.0,2020-09-06 04:39:00.464088+00:00
5651,8890.0,2020-09-06 04:40:00.571217+00:00
6209,8890.0,2020-09-06 04:41:00.523666+00:00
6767,8740.0,2020-09-06 04:42:00.443403+00:00
7328,8730.0,2020-09-06 04:43:00.457050+00:00
7889,8730.0,2020-09-06 04:44:00.552506+00:00
8451,8730.0,2020-09-06 04:45:00.486565+00:00
9013,8730.0,2020-09-06 04:46:00.507237+00:00
9575,8730.0,2020-09-06 04:47:00.534419+00:00
10137,8730.0,2020-09-06 04:48:00.471457+00:00
10699,8730.0,2020-09-06 04:49:00.561044+00:00
11261,8730.0,2020-09-06 04:50:00.524052+00:00
11824,8730.0,2020-09-06 04:51:00.481865+00:00
12388,8730.0,2020-09-06 04:52:00.459187+00:00
12952,8730.0,2020-09-06 04:53:00.474929+00:00
13516,8730.0,2020-09-06 04:54:00.508664+00:00
14080,8730.0,2020-09-06 04:55:00.468986+00:00
14644,8730.0,2020-09-06 04:56:00.520750+00:00
15208,8730.0,2020-09-06 04:57:00.473531+00:00
15772,8730.0,2020-09-06 04:58:00.508498+00:00
16337,8730.0,2020-09-06 04:59:00.618140+00:00
16903,8730.0,2020-09-06 05:00:00.603094+00:00
17469,8730.0,2020-09-06 05:01:00.531873+00:00
18035,8730.0,2020-09-06 05:02:00.485408+00:00
18601,8730.0,2020-09-06 05:03:00.503170+00:00
19167,8730.0,2020-09-06 05:04:00.529017+00:00
19733,8730.0,2020-09-06 05:05:00.523999+00:00
20300,8730.0,2020-09-06 05:06:00.531151+00:00
20867,8730.0,2020-09-06 05:07:00.527792+00:00
21434,8730.0,2020-09-06 05:08:00.514323+00:00
22001,8730.0,2020-09-06 05:09:00.568785+00:00
22569,8730.0,2020-09-06 05:10:00.516296+00:00
23138,8730.0,2020-09-06 05:11:00.465344+00:00
23707,8730.0,2020-09-06 05:12:00.486934+00:00
24276,8730.0,2020-09-06 05:13:00.521081+00:00
24845,8730.0,2020-09-06 05:14:00.492293+00:00
25414,8730.0,2020-09-06 05:15:00.496681+00:00
25983,8730.0,2020-09-06 05:16:00.479932+00:00
26552,8730.0,2020-09-06 05:17:00.481628+00:00
27122,8730.0,2020-09-06 05:18:00.488103+00:00
27692,8730.0,2020-09-06 05:19:00.515745+00:00
28262,8730.0,2020-09-06 05:20:00.498871+00:00
28833,8730.0,2020-09-06 05:21:00.496094+00:00
29404,8730.0,2020-09-06 05:22:00.480142+00:00
29975,8730.0,2020-09-06 05:23:00.489456+00:00
30546,8730.0,2020-09-06 05:24:00.543411+00:00
31117,8730.0,2020-09-06 05:25:00.551108+00:00
31688,8730.0,2020-09-06 05:26:00.502083+00:00
32259,8730.0,2020-09-06 05:27:00.504765+00:00
32832,8730.0,2020-09-06 05:28:00.496585+00:00
33405,8730.0,2020-09-06 05:29:00.509897+00:00
33978,8730.0,2020-09-06 05:30:00.555837+00:00
34551,8730.0,2020-09-06 05:31:00.547021+00:00
35124,8730.0,2020-09-06 05:32:00.538860+00:00
35698,8730.0,2020-09-06 05:33:00.532235+00:00
36272,8730.0,2020-09-06 05:34:00.579502+00:00
36846,8730.0,2020-09-06 05:35:00.527551+00:00
37420,8730.0,2020-09-06 05:36:00.529680+00:00
37994,8730.0,2020-09-06 05:37:00.514810+00:00
38568,8730.0,2020-09-06 05:38:00.543669+00:00
39142,8730.0,2020-09-06 05:39:00.546041+00:00
39716,8730.0,2020-09-06 05:40:00.559578+00:00
40290,8730.0,2020-09-06 05:41:00.531810+00:00
40864,8730.0,2020-09-06 05:42:00.526101+00:00
41438,8730.0,2020-09-06 05:43:00.542849+00:00
42012,8730.0,2020-09-06 05:44:00.583867+00:00
42586,8730.0,2020-09-06 05:45:00.571300+00:00
43160,8730.0,2020-09-06 05:46:00.666616+00:00
43734,8730.0,2020-09-06 05:47:00.659649+00:00
44308,8730.0,2020-09-06 05:48:00.509661+00:00
44882,8730.0,2020-09-06 05:49:00.513619+00:00
45456,8730.0,2020-09-06 05:50:00.524665+00:00
46030,8730.0,2020-09-06 05:51:00.617280+00:00
46604,8730.0,2020-09-06 05:52:00.571357+00:00
47178,8730.0,2020-09-06 05:53:00.558520+00:00
47752,8730.0,2020-09-06 05:54:00.539688+00:00
48326,8730.0,2020-09-06 05:55:00.536577+00:00
48900,8730.0,2020-09-06 05:56:00.523191+00:00
49474,8730.0,2020-09-06 05:57:00.512834+00:00
50048,8730.0,2020-09-06 05:58:00.529897+00:00
50624,8730.0,2020-09-06 05:59:00.512310+00:00
51200,8730.0,2020-09-06 06:00:00.582475+00:00
51776,8730.0,2020-09-06 06:01:00.578199+00:00
52352,8730.0,2020-09-06 06:02:00.509389+00:00
52928,8730.0,2020-09-06 06:03:00.529150+00:00
53504,8730.0,2020-09-06 06:04:00.613571+00:00
54080,8730.0,2020-09-06 06:05:00.603011+00:00
54656,8730.0,2020-09-06 06:06:00.599334+00:00
55232,8730.0,2020-09-06 06:07:00.549251+00:00
55808,8730.0,2020-09-06 06:08:00.538569+00:00
56384,8730.0,2020-09-06 06:09:00.652330+00:00
56960,8730.0,2020-09-06 06:10:00.643807+00:00
57536,8730.0,2020-09-06 06:11:00.523207+00:00
58112,8730.0,2020-09-06 06:12:00.523086+00:00
58688,8730.0,2020-09-06 06:13:00.525650+00:00
59264,8730.0,2020-09-06 06:14:00.537209+00:00
59840,8730.0,2020-09-06 06:15:00.586375+00:00
60416,8730.0,2020-09-06 06:17:00.513089+00:00
60992,8730.0,2020-09-06 06:18:00.522116+00:00
61568,8730.0,2020-09-06 06:19:00.518293+00:00
62144,8730.0,2020-09-06 06:20:00.532902+00:00
62720,8730.0,2020-09-06 06:21:00.600370+00:00
63296,8730.0,2020-09-06 06:22:00.561267+00:00
63872,8730.0,2020-09-06 06:23:00.620991+00:00
64448,8730.0,2020-09-06 06:24:00.600598+00:00
65024,8730.0,2020-09-06 06:25:00.528759+00:00
65600,8730.0,2020-09-06 06:26:00.518300+00:00
66176,8730.0,2020-09-06 06:27:00.564768+00:00
66753,8730.0,2020-09-06 06:28:00.515465+00:00
67331,8730.0,2020-09-06 06:29:00.567813+00:00
67909,8730.0,2020-09-06 06:30:00.630513+00:00
68487,8730.0,2020-09-06 06:31:00.517195+00:00
69065,8730.0,2020-09-06 06:32:00.511611+00:00
69643,8730.0,2020-09-06 06:33:00.546799+00:00
70221,8730.0,2020-09-06 06:34:00.590642+00:00
70799,8730.0,2020-09-06 06:35:00.552968+00:00
71376,8730.0,2020-09-06 06:36:00.539587+00:00
71953,8730.0,2020-09-06 06:37:00.711261+00:00
72531,8730.0,2020-09-06 06:38:00.555194+00:00
73110,8730.0,2020-09-06 06:39:00.659253+00:00
73689,8730.0,2020-09-06 06:40:00.579202+00:00
74268,8730.0,2020-09-06 06:41:00.541865+00:00
74848,8730.0,2020-09-06 06:42:00.590186+00:00
75429,8730.0,2020-09-06 06:43:00.529763+00:00
76009,8730.0,2020-09-06 06:44:00.540330+00:00
76588,8730.0,2020-09-06 06:45:00.650399+00:00
77168,8730.0,2020-09-06 06:46:00.681658+00:00
77748,8730.0,2020-09-06 06:47:00.558409+00:00
78330,8730.0,2020-09-06 06:48:00.533014+00:00
78912,8730.0,2020-09-06 06:49:00.604804+00:00
79494,8730.0,2020-09-06 06:50:00.653999+00:00
80077,8730.0,2020-09-06 06:51:00.523665+00:00
80660,8730.0,2020-09-06 06:52:00.532816+00:00
81243,8730.0,2020-09-06 06:53:00.536601+00:00
81827,8730.0,2020-09-06 06:54:00.585335+00:00
82411,8730.0,2020-09-06 06:55:00.538353+00:00
82995,8730.0,2020-09-06 06:56:00.562186+00:00
83579,8730.0,2020-09-06 06:57:00.544626+00:00
84163,8730.0,2020-09-06 06:58:00.543862+00:00
84747,8730.0,2020-09-06 06:59:00.654696+00:00
85331,8730.0,2020-09-06 07:00:00.694803+00:00
85914,8730.0,2020-09-06 07:01:00.545418+00:00
86496,8730.0,2020-09-06 07:02:00.730608+00:00
87079,8730.0,2020-09-06 07:03:00.539063+00:00
87662,8730.0,2020-09-06 07:04:00.567525+00:00
88245,8730.0,2020-09-06 07:05:01.000216+00:00
88828,8730.0,2020-09-06 07:06:00.578542+00:00
89411,8730.0,2020-09-06 07:07:00.623693+00:00
89994,8730.0,2020-09-06 07:08:00.565912+00:00
90577,8730.0,2020-09-06 07:09:00.562282+00:00
91160,8730.0,2020-09-06 07:10:00.970438+00:00
91743,8730.0,2020-09-06 07:11:00.604724+00:00
92327,8730.0,2020-09-06 07:12:00.587668+00:00
92912,8730.0,2020-09-06 07:13:00.560410+00:00
93497,8730.0,2020-09-06 07:14:00.590924+00:00
94082,8730.0,2020-09-06 07:15:00.561379+00:00
94667,8730.0,2020-09-06 07:16:00.554869+00:00
95252,8730.0,2020-09-06 07:17:00.539225+00:00
95837,8730.0,2020-09-06 07:18:00.549572+00:00
96422,8730.0,2020-09-06 07:19:00.569015+00:00
97007,8730.0,2020-09-06 07:20:00.556338+00:00
97592,8730.0,2020-09-06 07:21:00.523516+00:00
98177,8730.0,2020-09-06 07:22:00.537295+00:00
98762,8730.0,2020-09-06 07:23:00.587398+00:00
99346,8730.0,2020-09-06 07:24:00.559499+00:00
99930,8730.0,2020-09-06 07:25:00.551744+00:00
100514,8730.0,2020-09-06 07:26:00.563398+00:00
101098,8730.0,2020-09-06 07:27:00.554267+00:00
101682,8730.0,2020-09-06 07:28:00.555077+00:00
102266,8730.0,2020-09-06 07:29:00.535166+00:00
102850,8730.0,2020-09-06 07:30:00.829664+00:00
103434,8730.0,2020-09-06 07:31:00.617458+00:00
104019,8730.0,2020-09-06 07:32:00.586221+00:00
104604,8730.0,2020-09-06 07:33:00.593215+00:00
105189,8730.0,2020-09-06 07:34:00.722042+00:00
105776,8730.0,2020-09-06 07:35:00.642793+00:00
106363,8730.0,2020-09-06 07:36:00.577670+00:00
106950,8730.0,2020-09-06 07:37:00.549608+00:00
107537,8730.0,2020-09-06 07:38:00.614661+00:00
108124,8730.0,2020-09-06 07:39:00.625671+00:00
108711,8730.0,2020-09-06 07:40:00.697347+00:00
109298,8730.0,2020-09-06 07:41:00.552226+00:00
109885,8730.0,2020-09-06 07:42:00.601349+00:00
110472,8730.0,2020-09-06 07:43:00.623360+00:00
111059,8730.0,2020-09-06 07:44:00.560817+00:00
111646,8730.0,2020-09-06 07:45:00.597048+00:00
112233,8730.0,2020-09-06 07:46:00.611603+00:00
112820,8730.0,2020-09-06 07:47:00.570885+00:00
113407,8730.0,2020-09-06 07:48:00.579511+00:00
113994,8730.0,2020-09-06 07:49:00.556195+00:00
114581,8730.0,2020-09-06 07:50:00.583236+00:00
115169,8730.0,2020-09-06 07:51:00.627453+00:00
115759,8730.0,2020-09-06 07:52:00.575190+00:00
116349,8730.0,2020-09-06 07:53:00.570865+00:00
116939,8730.0,2020-09-06 07:54:00.595073+00:00
117529,8730.0,2020-09-06 07:55:00.581454+00:00
118119,8730.0,2020-09-06 07:56:00.552944+00:00
118709,8730.0,2020-09-06 07:57:00.555362+00:00
119299,8730.0,2020-09-06 07:58:00.561605+00:00
119889,8730.0,2020-09-06 07:59:00.558085+00:00
120479,8730.0,2020-09-06 08:00:00.703276+00:00
121069,8730.0,2020-09-06 08:01:00.566164+00:00
121659,8730.0,2020-09-06 08:02:00.550281+00:00
122250,8730.0,2020-09-06 08:03:00.560866+00:00
122840,8730.0,2020-09-06 08:04:00.556933+00:00
123430,8730.0,2020-09-06 08:05:00.566646+00:00
124020,8730.0,2020-09-06 08:06:00.545616+00:00
124610,8730.0,2020-09-06 08:07:00.554912+00:00
125200,8730.0,2020-09-06 08:08:00.549725+00:00
125790,8730.0,2020-09-06 08:09:00.634941+00:00
126380,8730.0,2020-09-06 08:10:00.672971+00:00
126970,8730.0,2020-09-06 08:11:00.595025+00:00
127560,8730.0,2020-09-06 08:12:00.671180+00:00
128150,8730.0,2020-09-06 08:13:00.604947+00:00
