,Price,Date
1545168,41000.0,2020-09-19 07:47:00.700205+00:00
1545737,41000.0,2020-09-19 07:48:00.843954+00:00
1546306,40500.0,2020-09-19 07:49:00.898372+00:00
1546875,39975.0,2020-09-19 07:50:00.754356+00:00
1547444,39975.0,2020-09-19 07:51:00.795861+00:00
1548013,39975.0,2020-09-19 07:52:00.811957+00:00
1548582,39975.0,2020-09-19 07:53:00.650513+00:00
1549151,39975.0,2020-09-19 07:54:00.913449+00:00
1549720,39975.0,2020-09-19 07:55:01.657038+00:00
1550289,39975.0,2020-09-19 07:56:00.867066+00:00
1550860,39975.0,2020-09-19 07:57:00.886929+00:00
1551431,41000.0,2020-09-19 07:58:00.795367+00:00
1552002,41000.0,2020-09-19 07:59:00.901155+00:00
1552573,41000.0,2020-09-19 08:00:00.959183+00:00
1553144,41000.0,2020-09-19 08:01:00.664642+00:00
1553715,41000.0,2020-09-19 08:02:00.684241+00:00
1554287,41000.0,2020-09-19 08:03:00.653154+00:00
1554859,41000.0,2020-09-19 08:04:00.750678+00:00
1555431,41000.0,2020-09-19 08:05:00.705304+00:00
1556003,41000.0,2020-09-19 08:06:00.669633+00:00
1556575,41000.0,2020-09-19 08:07:00.891021+00:00
1557146,41000.0,2020-09-19 08:08:00.709349+00:00
1557716,41000.0,2020-09-19 08:09:00.661994+00:00
1558286,41000.0,2020-09-19 08:10:00.727345+00:00
1558856,41000.0,2020-09-19 08:11:00.703349+00:00
1559426,41000.0,2020-09-19 08:12:01.286932+00:00
1559996,41000.0,2020-09-19 08:13:00.643491+00:00
1560566,41000.0,2020-09-19 08:14:00.662423+00:00
1561136,41000.0,2020-09-19 08:15:00.697372+00:00
1561706,41000.0,2020-09-19 08:16:00.663219+00:00
1562276,41000.0,2020-09-19 08:17:00.727449+00:00
1562846,41000.0,2020-09-19 08:18:00.769824+00:00
1563416,41000.0,2020-09-19 08:19:00.755139+00:00
1563986,41000.0,2020-09-19 08:20:00.706027+00:00
1564556,41000.0,2020-09-19 08:21:00.892399+00:00
1565126,41000.0,2020-09-19 08:22:00.685576+00:00
1565696,41000.0,2020-09-19 08:23:00.675221+00:00
1566266,41000.0,2020-09-19 08:24:00.808965+00:00
1566836,41000.0,2020-09-19 08:25:00.743154+00:00
1567406,41000.0,2020-09-19 08:26:00.730518+00:00
1567976,41000.0,2020-09-19 08:27:00.715321+00:00
1568546,41000.0,2020-09-19 08:28:00.720895+00:00
1569115,41000.0,2020-09-19 08:29:00.670062+00:00
1569684,41000.0,2020-09-19 08:30:00.765900+00:00
1570253,41000.0,2020-09-19 08:31:00.706515+00:00
1570822,41000.0,2020-09-19 08:32:00.756738+00:00
1571391,41000.0,2020-09-19 08:33:00.854093+00:00
1571960,41000.0,2020-09-19 08:34:00.677307+00:00
1572529,41000.0,2020-09-19 08:35:00.716282+00:00
1573098,41000.0,2020-09-19 08:36:00.736801+00:00
1573667,41000.0,2020-09-19 08:37:00.712588+00:00
1574236,41000.0,2020-09-19 08:38:00.684264+00:00
1574805,41000.0,2020-09-19 08:39:00.787132+00:00
1575374,41000.0,2020-09-19 08:40:00.732186+00:00
1575943,41000.0,2020-09-19 08:41:00.757985+00:00
1576512,41000.0,2020-09-19 08:42:00.852615+00:00
1577081,41000.0,2020-09-19 08:43:00.663465+00:00
1577650,41000.0,2020-09-19 08:44:00.688992+00:00
1578219,41000.0,2020-09-19 08:45:00.911566+00:00
1578788,41000.0,2020-09-19 08:46:00.667399+00:00
1579357,41000.0,2020-09-19 08:47:00.878509+00:00
1579926,41000.0,2020-09-19 08:48:00.704492+00:00
1580495,41000.0,2020-09-19 08:49:00.677094+00:00
1581064,41000.0,2020-09-19 08:50:00.987940+00:00
1581633,41000.0,2020-09-19 08:51:00.722255+00:00
1582202,41000.0,2020-09-19 08:52:00.675412+00:00
1582771,41000.0,2020-09-19 08:53:00.660578+00:00
1583340,41000.0,2020-09-19 08:54:00.682420+00:00
1583909,41000.0,2020-09-19 08:55:00.722400+00:00
1584478,41000.0,2020-09-19 08:56:00.723555+00:00
1585047,41000.0,2020-09-19 08:57:00.689754+00:00
1585616,41000.0,2020-09-19 08:58:00.728176+00:00
1586185,41000.0,2020-09-19 08:59:00.685554+00:00
1586754,41000.0,2020-09-19 09:00:01.078060+00:00
1587323,41000.0,2020-09-19 09:01:00.690333+00:00
1587892,41000.0,2020-09-19 09:02:00.719912+00:00
1588461,41000.0,2020-09-19 09:03:00.654232+00:00
1589030,41000.0,2020-09-19 09:04:00.648826+00:00
1589599,41000.0,2020-09-19 09:05:00.692403+00:00
1590168,41000.0,2020-09-19 09:06:00.640429+00:00
1590737,41000.0,2020-09-19 09:07:00.752466+00:00
1591306,41000.0,2020-09-19 09:08:00.741079+00:00
1591875,41000.0,2020-09-19 09:09:00.751116+00:00
1592444,41000.0,2020-09-19 09:10:01.408008+00:00
1593013,41000.0,2020-09-19 09:11:00.718280+00:00
1593582,41000.0,2020-09-19 09:12:00.718993+00:00
1594151,41000.0,2020-09-19 09:13:00.743372+00:00
1594720,41000.0,2020-09-19 09:14:00.737569+00:00
1595289,41000.0,2020-09-19 09:15:00.670702+00:00
1595858,41000.0,2020-09-19 09:16:00.692512+00:00
1596427,41000.0,2020-09-19 09:17:00.673311+00:00
1596996,41000.0,2020-09-19 09:18:00.684231+00:00
1597565,41000.0,2020-09-19 09:19:00.725634+00:00
1598134,41000.0,2020-09-19 09:20:00.660421+00:00
1598703,41000.0,2020-09-19 09:21:00.729014+00:00
1599272,41000.0,2020-09-19 09:22:00.700402+00:00
1599841,41000.0,2020-09-19 09:23:00.667754+00:00
1600410,41000.0,2020-09-19 09:24:00.729905+00:00
1600979,41000.0,2020-09-19 09:25:00.833415+00:00
1601548,41000.0,2020-09-19 09:26:00.628289+00:00
1602117,41000.0,2020-09-19 09:27:00.808074+00:00
1602686,41000.0,2020-09-19 09:28:00.726593+00:00
1603255,41000.0,2020-09-19 09:29:00.647133+00:00
1604470,39735.0,2020-09-20 04:35:00.520114+00:00
1604769,39720.0,2020-09-20 04:36:00.510624+00:00
1605119,39720.0,2020-09-20 04:37:00.467736+00:00
1605520,39720.0,2020-09-20 04:38:00.559063+00:00
1605960,40225.0,2020-09-20 04:39:00.505153+00:00
1606410,40225.0,2020-09-20 04:40:00.492565+00:00
1606886,40375.0,2020-09-20 04:41:00.522306+00:00
1607376,40375.0,2020-09-20 04:42:00.644951+00:00
1607867,40375.0,2020-09-20 04:43:00.554418+00:00
1608365,40375.0,2020-09-20 04:44:00.505863+00:00
1608866,40375.0,2020-09-20 04:45:00.787521+00:00
1609368,40375.0,2020-09-20 04:46:00.832004+00:00
1609870,40375.0,2020-09-20 04:47:00.663790+00:00
1610376,40375.0,2020-09-20 04:48:00.547585+00:00
1610884,40375.0,2020-09-20 04:49:00.588215+00:00
1611394,40375.0,2020-09-20 04:50:00.521712+00:00
1611906,40375.0,2020-09-20 04:51:00.690748+00:00
1612419,40375.0,2020-09-20 04:52:00.563460+00:00
1612932,40375.0,2020-09-20 04:53:00.570621+00:00
1613445,40375.0,2020-09-20 04:54:00.569041+00:00
1613960,40375.0,2020-09-20 04:55:00.528028+00:00
