,Price,Date
138,21610.0,2020-09-05 09:19:41.893156+00:00
726,21610.0,2020-09-05 09:29:21.142721+00:00
1314,21610.0,2020-09-05 09:31:34.756001+00:00
3469,21945.0,2020-09-06 04:36:00.426103+00:00
4019,21650.0,2020-09-06 04:37:00.478042+00:00
4573,21650.0,2020-09-06 04:38:00.498142+00:00
5128,21650.0,2020-09-06 04:39:00.464752+00:00
5685,21650.0,2020-09-06 04:40:00.571867+00:00
6243,21650.0,2020-09-06 04:41:00.524327+00:00
6801,21650.0,2020-09-06 04:42:00.444074+00:00
7362,21650.0,2020-09-06 04:43:00.457693+00:00
7923,21650.0,2020-09-06 04:44:00.553147+00:00
8485,21650.0,2020-09-06 04:45:00.487292+00:00
9047,21650.0,2020-09-06 04:46:00.507903+00:00
9609,21650.0,2020-09-06 04:47:00.535096+00:00
10171,21650.0,2020-09-06 04:48:00.472211+00:00
10733,21505.0,2020-09-06 04:49:00.561769+00:00
11295,21475.0,2020-09-06 04:50:00.524758+00:00
11858,21405.0,2020-09-06 04:51:00.482522+00:00
12422,21405.0,2020-09-06 04:52:00.459853+00:00
12986,21405.0,2020-09-06 04:53:00.475578+00:00
13550,21405.0,2020-09-06 04:54:00.509333+00:00
14114,21405.0,2020-09-06 04:55:00.469653+00:00
14678,21405.0,2020-09-06 04:56:00.521452+00:00
15242,21405.0,2020-09-06 04:57:00.474220+00:00
15806,21405.0,2020-09-06 04:58:00.509181+00:00
16371,21405.0,2020-09-06 04:59:00.618806+00:00
16937,21405.0,2020-09-06 05:00:00.603774+00:00
17503,21405.0,2020-09-06 05:01:00.532519+00:00
18069,21405.0,2020-09-06 05:02:00.486081+00:00
18635,21405.0,2020-09-06 05:03:00.503820+00:00
19201,21405.0,2020-09-06 05:04:00.529746+00:00
19767,21405.0,2020-09-06 05:05:00.524666+00:00
20334,21405.0,2020-09-06 05:06:00.531821+00:00
20901,21405.0,2020-09-06 05:07:00.528461+00:00
21468,21405.0,2020-09-06 05:08:00.514980+00:00
22035,21405.0,2020-09-06 05:09:00.569444+00:00
22603,21405.0,2020-09-06 05:10:00.516958+00:00
23172,21405.0,2020-09-06 05:11:00.466025+00:00
23741,21405.0,2020-09-06 05:12:00.487666+00:00
24310,21405.0,2020-09-06 05:13:00.521733+00:00
24879,21405.0,2020-09-06 05:14:00.492964+00:00
25448,21405.0,2020-09-06 05:15:00.497351+00:00
26017,21405.0,2020-09-06 05:16:00.480613+00:00
26586,21405.0,2020-09-06 05:17:00.482288+00:00
27156,21405.0,2020-09-06 05:18:00.488733+00:00
27726,21400.0,2020-09-06 05:19:00.516409+00:00
28296,21375.0,2020-09-06 05:20:00.499532+00:00
28867,21375.0,2020-09-06 05:21:00.496747+00:00
29438,21320.0,2020-09-06 05:22:00.480791+00:00
30009,21275.0,2020-09-06 05:23:00.490111+00:00
30580,21075.0,2020-09-06 05:24:00.544150+00:00
31151,21035.0,2020-09-06 05:25:00.551868+00:00
31722,21035.0,2020-09-06 05:26:00.502775+00:00
32293,21035.0,2020-09-06 05:27:00.505417+00:00
32866,21035.0,2020-09-06 05:28:00.497230+00:00
