,Price,Date
184,18830.0,2020-09-05 09:19:41.898210+00:00
772,18830.0,2020-09-05 09:29:21.147722+00:00
1360,18830.0,2020-09-05 09:31:34.761005+00:00
2072,19670.0,2020-09-06 04:33:00.410639+00:00
2520,19670.0,2020-09-06 04:34:00.427288+00:00
2981,19670.0,2020-09-06 04:35:00.662724+00:00
3513,19635.0,2020-09-06 04:36:00.426962+00:00
4063,19700.0,2020-09-06 04:37:00.478872+00:00
4617,19745.0,2020-09-06 04:38:00.498954+00:00
5172,19745.0,2020-09-06 04:39:00.465620+00:00
5729,19745.0,2020-09-06 04:40:00.572721+00:00
6287,19745.0,2020-09-06 04:41:00.525178+00:00
6845,19745.0,2020-09-06 04:42:00.444937+00:00
7406,19745.0,2020-09-06 04:43:00.458542+00:00
7967,19745.0,2020-09-06 04:44:00.554013+00:00
8529,19745.0,2020-09-06 04:45:00.488196+00:00
9091,19745.0,2020-09-06 04:46:00.508759+00:00
9653,19745.0,2020-09-06 04:47:00.535962+00:00
10215,19745.0,2020-09-06 04:48:00.473088+00:00
10777,19745.0,2020-09-06 04:49:00.562657+00:00
11339,19745.0,2020-09-06 04:50:00.525634+00:00
11903,19745.0,2020-09-06 04:51:00.483432+00:00
12467,19745.0,2020-09-06 04:52:00.460721+00:00
13031,19745.0,2020-09-06 04:53:00.476427+00:00
13595,19745.0,2020-09-06 04:54:00.510232+00:00
14159,19745.0,2020-09-06 04:55:00.470552+00:00
14723,19745.0,2020-09-06 04:56:00.522399+00:00
15287,19745.0,2020-09-06 04:57:00.475112+00:00
15851,19745.0,2020-09-06 04:58:00.510068+00:00
16416,19720.0,2020-09-06 04:59:00.619674+00:00
16982,19655.0,2020-09-06 05:00:00.604668+00:00
17548,19655.0,2020-09-06 05:01:00.533402+00:00
18114,19645.0,2020-09-06 05:02:00.486922+00:00
18680,19645.0,2020-09-06 05:03:00.504681+00:00
19246,19645.0,2020-09-06 05:04:00.530604+00:00
19812,19645.0,2020-09-06 05:05:00.525531+00:00
20379,19645.0,2020-09-06 05:06:00.532695+00:00
