,Price,Date
171,40580.0,2020-09-05 09:19:41.897208+00:00
759,40580.0,2020-09-05 09:29:21.146721+00:00
1347,40580.0,2020-09-05 09:31:34.760005+00:00
1768,0.0,2020-09-06 04:32:00.254708+00:00
2058,42070.0,2020-09-06 04:33:00.410373+00:00
2506,42070.0,2020-09-06 04:34:00.427023+00:00
2966,42070.0,2020-09-06 04:35:00.662422+00:00
3500,41035.0,2020-09-06 04:36:00.426708+00:00
4050,41035.0,2020-09-06 04:37:00.478625+00:00
4604,41035.0,2020-09-06 04:38:00.498713+00:00
5159,41035.0,2020-09-06 04:39:00.465375+00:00
5716,41030.0,2020-09-06 04:40:00.572473+00:00
6274,41030.0,2020-09-06 04:41:00.524926+00:00
6832,41030.0,2020-09-06 04:42:00.444686+00:00
7393,41030.0,2020-09-06 04:43:00.458297+00:00
7954,41030.0,2020-09-06 04:44:00.553764+00:00
8516,41345.0,2020-09-06 04:45:00.487938+00:00
9078,41590.0,2020-09-06 04:46:00.508503+00:00
9640,41590.0,2020-09-06 04:47:00.535706+00:00
10202,41590.0,2020-09-06 04:48:00.472827+00:00
10764,41590.0,2020-09-06 04:49:00.562378+00:00
11326,41590.0,2020-09-06 04:50:00.525383+00:00
11890,41590.0,2020-09-06 04:51:00.483129+00:00
12454,41590.0,2020-09-06 04:52:00.460475+00:00
13018,41590.0,2020-09-06 04:53:00.476178+00:00
13582,41590.0,2020-09-06 04:54:00.509979+00:00
14146,41590.0,2020-09-06 04:55:00.470299+00:00
14710,41590.0,2020-09-06 04:56:00.522140+00:00
15274,41590.0,2020-09-06 04:57:00.474859+00:00
15838,41590.0,2020-09-06 04:58:00.509818+00:00
16403,41590.0,2020-09-06 04:59:00.619422+00:00
16969,41590.0,2020-09-06 05:00:00.604407+00:00
17535,41590.0,2020-09-06 05:01:00.533127+00:00
18101,41590.0,2020-09-06 05:02:00.486679+00:00
18667,41590.0,2020-09-06 05:03:00.504436+00:00
19233,41590.0,2020-09-06 05:04:00.530357+00:00
19799,41585.0,2020-09-06 05:05:00.525280+00:00
20366,41585.0,2020-09-06 05:06:00.532446+00:00
20933,41585.0,2020-09-06 05:07:00.529091+00:00
21500,41585.0,2020-09-06 05:08:00.515590+00:00
22067,41585.0,2020-09-06 05:09:00.570100+00:00
22635,41585.0,2020-09-06 05:10:00.517573+00:00
23204,41585.0,2020-09-06 05:11:00.466641+00:00
23773,41585.0,2020-09-06 05:12:00.488301+00:00
24342,41585.0,2020-09-06 05:13:00.522360+00:00
24911,41585.0,2020-09-06 05:14:00.493595+00:00
25480,41585.0,2020-09-06 05:15:00.497967+00:00
26049,41585.0,2020-09-06 05:16:00.481240+00:00
26618,41585.0,2020-09-06 05:17:00.482929+00:00
27188,41585.0,2020-09-06 05:18:00.489329+00:00
27758,41585.0,2020-09-06 05:19:00.517028+00:00
28328,41585.0,2020-09-06 05:20:00.500224+00:00
28899,41585.0,2020-09-06 05:21:00.497351+00:00
29470,41580.0,2020-09-06 05:22:00.481400+00:00
30041,41580.0,2020-09-06 05:23:00.490712+00:00
30612,41580.0,2020-09-06 05:24:00.544759+00:00
31183,41580.0,2020-09-06 05:25:00.552540+00:00
31754,41580.0,2020-09-06 05:26:00.503403+00:00
32326,41580.0,2020-09-06 05:27:00.506044+00:00
32899,41580.0,2020-09-06 05:28:00.497849+00:00
33472,41580.0,2020-09-06 05:29:00.511250+00:00
34045,41580.0,2020-09-06 05:30:00.557124+00:00
34618,41580.0,2020-09-06 05:31:00.548934+00:00
35191,41580.0,2020-09-06 05:32:00.540238+00:00
35765,41580.0,2020-09-06 05:33:00.533512+00:00
36339,41580.0,2020-09-06 05:34:00.580832+00:00
36913,41580.0,2020-09-06 05:35:00.528900+00:00
37487,41580.0,2020-09-06 05:36:00.531147+00:00
38061,41580.0,2020-09-06 05:37:00.516144+00:00
38635,41580.0,2020-09-06 05:38:00.545006+00:00
39209,41580.0,2020-09-06 05:39:00.547350+00:00
39783,41580.0,2020-09-06 05:40:00.560860+00:00
40357,41580.0,2020-09-06 05:41:00.533202+00:00
40931,41580.0,2020-09-06 05:42:00.527498+00:00
41505,41580.0,2020-09-06 05:43:00.544165+00:00
42079,41580.0,2020-09-06 05:44:00.585161+00:00
42653,41580.0,2020-09-06 05:45:00.572620+00:00
43227,41580.0,2020-09-06 05:46:00.667945+00:00
43801,41580.0,2020-09-06 05:47:00.660936+00:00
44375,41580.0,2020-09-06 05:48:00.510997+00:00
44949,41580.0,2020-09-06 05:49:00.514970+00:00
