,Price,Date
205,19040.0,2020-09-05 09:19:41.900209+00:00
793,19040.0,2020-09-05 09:29:21.150721+00:00
1381,19040.0,2020-09-05 09:31:34.763005+00:00
2030,19195.0,2020-09-06 04:33:00.409830+00:00
2478,19195.0,2020-09-06 04:34:00.426490+00:00
2936,19195.0,2020-09-06 04:35:00.661804+00:00
3534,19195.0,2020-09-06 04:36:00.427357+00:00
4084,19195.0,2020-09-06 04:37:00.479268+00:00
4638,19195.0,2020-09-06 04:38:00.499343+00:00
5193,18960.0,2020-09-06 04:39:00.466100+00:00
5750,18960.0,2020-09-06 04:40:00.573119+00:00
6308,18960.0,2020-09-06 04:41:00.525610+00:00
6866,18965.0,2020-09-06 04:42:00.445340+00:00
7427,18965.0,2020-09-06 04:43:00.458933+00:00
7988,18965.0,2020-09-06 04:44:00.554429+00:00
8550,18965.0,2020-09-06 04:45:00.488608+00:00
9112,18965.0,2020-09-06 04:46:00.509167+00:00
9674,18965.0,2020-09-06 04:47:00.536374+00:00
10236,18965.0,2020-09-06 04:48:00.473562+00:00
10798,18965.0,2020-09-06 04:49:00.563055+00:00
11360,18965.0,2020-09-06 04:50:00.526075+00:00
11924,18965.0,2020-09-06 04:51:00.483835+00:00
12488,18965.0,2020-09-06 04:52:00.461129+00:00
13052,18965.0,2020-09-06 04:53:00.476827+00:00
13616,18965.0,2020-09-06 04:54:00.510691+00:00
14180,18965.0,2020-09-06 04:55:00.470960+00:00
14744,18965.0,2020-09-06 04:56:00.522811+00:00
15308,18965.0,2020-09-06 04:57:00.475519+00:00
15872,18965.0,2020-09-06 04:58:00.510468+00:00
16437,18965.0,2020-09-06 04:59:00.620080+00:00
17003,18965.0,2020-09-06 05:00:00.605094+00:00
17569,18965.0,2020-09-06 05:01:00.533825+00:00
18135,18965.0,2020-09-06 05:02:00.487313+00:00
18701,18965.0,2020-09-06 05:03:00.505082+00:00
19267,18965.0,2020-09-06 05:04:00.531004+00:00
19833,18965.0,2020-09-06 05:05:00.525963+00:00
20400,18965.0,2020-09-06 05:06:00.533095+00:00
20967,18965.0,2020-09-06 05:07:00.529789+00:00
21534,18965.0,2020-09-06 05:08:00.516234+00:00
22101,18965.0,2020-09-06 05:09:00.570775+00:00
22669,18965.0,2020-09-06 05:10:00.518221+00:00
23238,18965.0,2020-09-06 05:11:00.467307+00:00
23807,18965.0,2020-09-06 05:12:00.488981+00:00
24376,18965.0,2020-09-06 05:13:00.523037+00:00
24945,18965.0,2020-09-06 05:14:00.494265+00:00
25514,18965.0,2020-09-06 05:15:00.498639+00:00
26083,18965.0,2020-09-06 05:16:00.481909+00:00
26652,18965.0,2020-09-06 05:17:00.483578+00:00
27222,18965.0,2020-09-06 05:18:00.489961+00:00
27792,18965.0,2020-09-06 05:19:00.517827+00:00
28362,18965.0,2020-09-06 05:20:00.500882+00:00
28933,18965.0,2020-09-06 05:21:00.497997+00:00
29504,18965.0,2020-09-06 05:22:00.482046+00:00
30075,18965.0,2020-09-06 05:23:00.491403+00:00
30646,18965.0,2020-09-06 05:24:00.545416+00:00
31217,18965.0,2020-09-06 05:25:00.553221+00:00
31788,18965.0,2020-09-06 05:26:00.504064+00:00
32360,18965.0,2020-09-06 05:27:00.506693+00:00
32933,18965.0,2020-09-06 05:28:00.498503+00:00
33506,18965.0,2020-09-06 05:29:00.511930+00:00
34079,18965.0,2020-09-06 05:30:00.557891+00:00
34652,18965.0,2020-09-06 05:31:00.549615+00:00
35225,18965.0,2020-09-06 05:32:00.540900+00:00
35799,18965.0,2020-09-06 05:33:00.534171+00:00
36373,18965.0,2020-09-06 05:34:00.581472+00:00
36947,18965.0,2020-09-06 05:35:00.529572+00:00
37521,18965.0,2020-09-06 05:36:00.531889+00:00
38095,18965.0,2020-09-06 05:37:00.516813+00:00
38669,18965.0,2020-09-06 05:38:00.545677+00:00
39243,18965.0,2020-09-06 05:39:00.548030+00:00
39817,18965.0,2020-09-06 05:40:00.561504+00:00
40391,18965.0,2020-09-06 05:41:00.533872+00:00
40965,18965.0,2020-09-06 05:42:00.528144+00:00
41539,18965.0,2020-09-06 05:43:00.544818+00:00
42113,18965.0,2020-09-06 05:44:00.585874+00:00
42687,18965.0,2020-09-06 05:45:00.573287+00:00
43261,18965.0,2020-09-06 05:46:00.668596+00:00
43835,18960.0,2020-09-06 05:47:00.661580+00:00
44409,18960.0,2020-09-06 05:48:00.511647+00:00
44983,18850.0,2020-09-06 05:49:00.515640+00:00
45557,18850.0,2020-09-06 05:50:00.526579+00:00
46131,18850.0,2020-09-06 05:51:00.619346+00:00
46705,18850.0,2020-09-06 05:52:00.573341+00:00
47279,18850.0,2020-09-06 05:53:00.560576+00:00
