,Price,Date
0,28590.0,2020-09-05 09:19:41.879657+00:00
588,28590.0,2020-09-05 09:29:21.127217+00:00
1176,28590.0,2020-09-05 09:31:34.736013+00:00
2097,28920.0,2020-09-06 04:33:00.411112+00:00
2545,28920.0,2020-09-06 04:34:00.427765+00:00
3014,28920.0,2020-09-06 04:35:00.663370+00:00
3334,28900.0,2020-09-06 04:36:00.423064+00:00
3882,28480.0,2020-09-06 04:37:00.475381+00:00
4436,28370.0,2020-09-06 04:38:00.495329+00:00
4991,28175.0,2020-09-06 04:39:00.461934+00:00
5548,28175.0,2020-09-06 04:40:00.569182+00:00
6106,28175.0,2020-09-06 04:41:00.521641+00:00
6664,28175.0,2020-09-06 04:42:00.441322+00:00
7225,28175.0,2020-09-06 04:43:00.455039+00:00
7786,28175.0,2020-09-06 04:44:00.550539+00:00
8348,28175.0,2020-09-06 04:45:00.484466+00:00
8910,28175.0,2020-09-06 04:46:00.505184+00:00
9472,28175.0,2020-09-06 04:47:00.532344+00:00
10034,28175.0,2020-09-06 04:48:00.469408+00:00
10596,28175.0,2020-09-06 04:49:00.559076+00:00
11158,28175.0,2020-09-06 04:50:00.522013+00:00
11721,28175.0,2020-09-06 04:51:00.479795+00:00
12285,28175.0,2020-09-06 04:52:00.457065+00:00
12849,28175.0,2020-09-06 04:53:00.472920+00:00
13413,28175.0,2020-09-06 04:54:00.506657+00:00
13977,28175.0,2020-09-06 04:55:00.466966+00:00
14541,28175.0,2020-09-06 04:56:00.518587+00:00
15105,28175.0,2020-09-06 04:57:00.471502+00:00
15669,28175.0,2020-09-06 04:58:00.506513+00:00
16234,28175.0,2020-09-06 04:59:00.616050+00:00
16800,28175.0,2020-09-06 05:00:00.600801+00:00
17366,28175.0,2020-09-06 05:01:00.529851+00:00
17932,28175.0,2020-09-06 05:02:00.483409+00:00
18498,28175.0,2020-09-06 05:03:00.501114+00:00
19064,28175.0,2020-09-06 05:04:00.527037+00:00
19630,28175.0,2020-09-06 05:05:00.521956+00:00
20197,28175.0,2020-09-06 05:06:00.529060+00:00
20764,28175.0,2020-09-06 05:07:00.525736+00:00
21331,28175.0,2020-09-06 05:08:00.512258+00:00
21898,28175.0,2020-09-06 05:09:00.566771+00:00
22466,28175.0,2020-09-06 05:10:00.514226+00:00
23035,28175.0,2020-09-06 05:11:00.463326+00:00
23604,28175.0,2020-09-06 05:12:00.484847+00:00
24173,28175.0,2020-09-06 05:13:00.519069+00:00
24742,28175.0,2020-09-06 05:14:00.490248+00:00
25311,28175.0,2020-09-06 05:15:00.494654+00:00
25880,28175.0,2020-09-06 05:16:00.477841+00:00
26449,28175.0,2020-09-06 05:17:00.479604+00:00
27019,28175.0,2020-09-06 05:18:00.486062+00:00
27589,28175.0,2020-09-06 05:19:00.513689+00:00
28159,28175.0,2020-09-06 05:20:00.496843+00:00
28730,28175.0,2020-09-06 05:21:00.494020+00:00
29301,28175.0,2020-09-06 05:22:00.478136+00:00
29872,28175.0,2020-09-06 05:23:00.487436+00:00
30443,28175.0,2020-09-06 05:24:00.541336+00:00
31014,28175.0,2020-09-06 05:25:00.548942+00:00
31585,28175.0,2020-09-06 05:26:00.500063+00:00
32156,28175.0,2020-09-06 05:27:00.502792+00:00
32729,28175.0,2020-09-06 05:28:00.494579+00:00
33302,28175.0,2020-09-06 05:29:00.507873+00:00
33875,28175.0,2020-09-06 05:30:00.553689+00:00
34448,28175.0,2020-09-06 05:31:00.544970+00:00
35021,28175.0,2020-09-06 05:32:00.536655+00:00
35595,28175.0,2020-09-06 05:33:00.530189+00:00
36169,28175.0,2020-09-06 05:34:00.577501+00:00
36743,28175.0,2020-09-06 05:35:00.525465+00:00
37317,28175.0,2020-09-06 05:36:00.527571+00:00
37891,28175.0,2020-09-06 05:37:00.512739+00:00
38465,28175.0,2020-09-06 05:38:00.541582+00:00
39039,28175.0,2020-09-06 05:39:00.544013+00:00
39613,28175.0,2020-09-06 05:40:00.557502+00:00
40187,28175.0,2020-09-06 05:41:00.529785+00:00
40761,28170.0,2020-09-06 05:42:00.524069+00:00
41335,28170.0,2020-09-06 05:43:00.540791+00:00
41909,28170.0,2020-09-06 05:44:00.581636+00:00
42483,28170.0,2020-09-06 05:45:00.569208+00:00
43057,28170.0,2020-09-06 05:46:00.664561+00:00
43631,28170.0,2020-09-06 05:47:00.657590+00:00
44205,28170.0,2020-09-06 05:48:00.507653+00:00
44779,28170.0,2020-09-06 05:49:00.511548+00:00
45353,28170.0,2020-09-06 05:50:00.522615+00:00
45927,28170.0,2020-09-06 05:51:00.615230+00:00
46501,28170.0,2020-09-06 05:52:00.569275+00:00
47075,28170.0,2020-09-06 05:53:00.556364+00:00
47649,28170.0,2020-09-06 05:54:00.537609+00:00
48223,28170.0,2020-09-06 05:55:00.534493+00:00
48797,28170.0,2020-09-06 05:56:00.521022+00:00
49371,28170.0,2020-09-06 05:57:00.510655+00:00
49945,28170.0,2020-09-06 05:58:00.527859+00:00
50521,28170.0,2020-09-06 05:59:00.510333+00:00
51097,28170.0,2020-09-06 06:00:00.580463+00:00
51673,28170.0,2020-09-06 06:01:00.576178+00:00
52249,28170.0,2020-09-06 06:02:00.507338+00:00
52825,28170.0,2020-09-06 06:03:00.527001+00:00
53401,28170.0,2020-09-06 06:04:00.611362+00:00
53977,28170.0,2020-09-06 06:05:00.600769+00:00
54553,28170.0,2020-09-06 06:06:00.597152+00:00
55129,28170.0,2020-09-06 06:07:00.547171+00:00
55705,28170.0,2020-09-06 06:08:00.536542+00:00
56281,28170.0,2020-09-06 06:09:00.650296+00:00
56857,28170.0,2020-09-06 06:10:00.641737+00:00
57433,28170.0,2020-09-06 06:11:00.521175+00:00
58009,28170.0,2020-09-06 06:12:00.520967+00:00
58585,28170.0,2020-09-06 06:13:00.523561+00:00
59161,28170.0,2020-09-06 06:14:00.535220+00:00
59737,28170.0,2020-09-06 06:15:00.584346+00:00
60313,28170.0,2020-09-06 06:17:00.511013+00:00
60889,28170.0,2020-09-06 06:18:00.520080+00:00
61465,28170.0,2020-09-06 06:19:00.516275+00:00
62041,28170.0,2020-09-06 06:20:00.530657+00:00
62617,28170.0,2020-09-06 06:21:00.598395+00:00
63193,28170.0,2020-09-06 06:22:00.559187+00:00
63769,28170.0,2020-09-06 06:23:00.619012+00:00
64345,28170.0,2020-09-06 06:24:00.598611+00:00
64921,28170.0,2020-09-06 06:25:00.526722+00:00
65497,28170.0,2020-09-06 06:26:00.516282+00:00
66073,28170.0,2020-09-06 06:27:00.562724+00:00
66650,28170.0,2020-09-06 06:28:00.513361+00:00
67228,28170.0,2020-09-06 06:29:00.562414+00:00
67806,28170.0,2020-09-06 06:30:00.628480+00:00
68384,28170.0,2020-09-06 06:31:00.515166+00:00
68962,28170.0,2020-09-06 06:32:00.509594+00:00
69540,28170.0,2020-09-06 06:33:00.544718+00:00
70118,28170.0,2020-09-06 06:34:00.588604+00:00
70696,28170.0,2020-09-06 06:35:00.550855+00:00
71273,28170.0,2020-09-06 06:36:00.537485+00:00
71850,28170.0,2020-09-06 06:37:00.709249+00:00
72428,28170.0,2020-09-06 06:38:00.553128+00:00
73007,28170.0,2020-09-06 06:39:00.654782+00:00
73586,28170.0,2020-09-06 06:40:00.576989+00:00
74165,28170.0,2020-09-06 06:41:00.539771+00:00
74745,28170.0,2020-09-06 06:42:00.588090+00:00
75326,28170.0,2020-09-06 06:43:00.527749+00:00
75906,28170.0,2020-09-06 06:44:00.538251+00:00
76485,28170.0,2020-09-06 06:45:00.648378+00:00
77065,28170.0,2020-09-06 06:46:00.679637+00:00
77645,28170.0,2020-09-06 06:47:00.556366+00:00
78227,28170.0,2020-09-06 06:48:00.530988+00:00
78809,28170.0,2020-09-06 06:49:00.602693+00:00
79391,28170.0,2020-09-06 06:50:00.651933+00:00
79974,28170.0,2020-09-06 06:51:00.521626+00:00
80557,28170.0,2020-09-06 06:52:00.530760+00:00
81140,28170.0,2020-09-06 06:53:00.534324+00:00
81724,28170.0,2020-09-06 06:54:00.583190+00:00
82308,28170.0,2020-09-06 06:55:00.536327+00:00
82892,28170.0,2020-09-06 06:56:00.556289+00:00
83476,28170.0,2020-09-06 06:57:00.542560+00:00
84060,28170.0,2020-09-06 06:58:00.541808+00:00
84644,28170.0,2020-09-06 06:59:00.652714+00:00
85228,28170.0,2020-09-06 07:00:00.692755+00:00
85811,28170.0,2020-09-06 07:01:00.543342+00:00
86393,28170.0,2020-09-06 07:02:00.728564+00:00
86976,28170.0,2020-09-06 07:03:00.537039+00:00
87559,28170.0,2020-09-06 07:04:00.565493+00:00
88142,28170.0,2020-09-06 07:05:00.998134+00:00
88725,28170.0,2020-09-06 07:06:00.576318+00:00
89308,28170.0,2020-09-06 07:07:00.621608+00:00
89891,28170.0,2020-09-06 07:08:00.563843+00:00
90474,28170.0,2020-09-06 07:09:00.560128+00:00
91057,28170.0,2020-09-06 07:10:00.968358+00:00
91640,28170.0,2020-09-06 07:11:00.602666+00:00
92223,28170.0,2020-09-06 07:12:00.585677+00:00
92808,28170.0,2020-09-06 07:13:00.558301+00:00
93393,28170.0,2020-09-06 07:14:00.588839+00:00
93978,28170.0,2020-09-06 07:15:00.559236+00:00
94564,28170.0,2020-09-06 07:16:00.552776+00:00
95149,28170.0,2020-09-06 07:17:00.537247+00:00
95734,28170.0,2020-09-06 07:18:00.547534+00:00
96319,28170.0,2020-09-06 07:19:00.566976+00:00
96904,28170.0,2020-09-06 07:20:00.554274+00:00
97489,28170.0,2020-09-06 07:21:00.521491+00:00
98074,28170.0,2020-09-06 07:22:00.535256+00:00
98659,28170.0,2020-09-06 07:23:00.585410+00:00
99243,28170.0,2020-09-06 07:24:00.557392+00:00
99827,28170.0,2020-09-06 07:25:00.549760+00:00
100411,28170.0,2020-09-06 07:26:00.561296+00:00
100995,28170.0,2020-09-06 07:27:00.552091+00:00
101579,28170.0,2020-09-06 07:28:00.553055+00:00
102163,28170.0,2020-09-06 07:29:00.533122+00:00
102747,28170.0,2020-09-06 07:30:00.823408+00:00
103331,28170.0,2020-09-06 07:31:00.614899+00:00
103916,28170.0,2020-09-06 07:32:00.584058+00:00
104501,28170.0,2020-09-06 07:33:00.591156+00:00
105086,28170.0,2020-09-06 07:34:00.719794+00:00
105673,28170.0,2020-09-06 07:35:00.640733+00:00
106260,28170.0,2020-09-06 07:36:00.575653+00:00
106847,28170.0,2020-09-06 07:37:00.547528+00:00
107434,28170.0,2020-09-06 07:38:00.612489+00:00
108021,28170.0,2020-09-06 07:39:00.623598+00:00
108608,28170.0,2020-09-06 07:40:00.695158+00:00
109195,28170.0,2020-09-06 07:41:00.550193+00:00
109782,28170.0,2020-09-06 07:42:00.599283+00:00
110369,28170.0,2020-09-06 07:43:00.621264+00:00
110956,28170.0,2020-09-06 07:44:00.558720+00:00
111543,28170.0,2020-09-06 07:45:00.594985+00:00
112130,28170.0,2020-09-06 07:46:00.609412+00:00
112717,28170.0,2020-09-06 07:47:00.568820+00:00
113304,28170.0,2020-09-06 07:48:00.577509+00:00
113891,28170.0,2020-09-06 07:49:00.554195+00:00
114478,28170.0,2020-09-06 07:50:00.581258+00:00
115066,28170.0,2020-09-06 07:51:00.625431+00:00
115656,28170.0,2020-09-06 07:52:00.573072+00:00
116246,28170.0,2020-09-06 07:53:00.568847+00:00
116836,28170.0,2020-09-06 07:54:00.593009+00:00
117426,28170.0,2020-09-06 07:55:00.579394+00:00
118016,28170.0,2020-09-06 07:56:00.550742+00:00
118606,28170.0,2020-09-06 07:57:00.553396+00:00
119196,28170.0,2020-09-06 07:58:00.559191+00:00
119786,28170.0,2020-09-06 07:59:00.555920+00:00
120376,28170.0,2020-09-06 08:00:00.701232+00:00
120966,28170.0,2020-09-06 08:01:00.564168+00:00
121556,28170.0,2020-09-06 08:02:00.548189+00:00
122147,28170.0,2020-09-06 08:03:00.558605+00:00
122737,28170.0,2020-09-06 08:04:00.554895+00:00
123327,28170.0,2020-09-06 08:05:00.564507+00:00
123917,28170.0,2020-09-06 08:06:00.543596+00:00
124507,28170.0,2020-09-06 08:07:00.552776+00:00
125097,28170.0,2020-09-06 08:08:00.547612+00:00
125687,28170.0,2020-09-06 08:09:00.632826+00:00
126277,28170.0,2020-09-06 08:10:00.670938+00:00
126867,28170.0,2020-09-06 08:11:00.592836+00:00
127457,28170.0,2020-09-06 08:12:00.667255+00:00
128047,28170.0,2020-09-06 08:13:00.602855+00:00
128637,28170.0,2020-09-06 08:14:00.541172+00:00
129227,28170.0,2020-09-06 08:15:00.583702+00:00
129817,28170.0,2020-09-06 08:16:00.732419+00:00
130407,28170.0,2020-09-06 08:17:00.544873+00:00
130997,28170.0,2020-09-06 08:18:00.587147+00:00
131587,28170.0,2020-09-06 08:19:00.579909+00:00
132177,28170.0,2020-09-06 08:20:00.565191+00:00
132767,28170.0,2020-09-06 08:21:00.584192+00:00
133357,28170.0,2020-09-06 08:22:00.556852+00:00
133947,28170.0,2020-09-06 08:23:00.593219+00:00
134537,28170.0,2020-09-06 08:24:00.545560+00:00
135127,28170.0,2020-09-06 08:25:00.623228+00:00
135717,28170.0,2020-09-06 08:26:00.545424+00:00
136307,28170.0,2020-09-06 08:27:00.546029+00:00
136897,28170.0,2020-09-06 08:28:00.574626+00:00
137487,28170.0,2020-09-06 08:29:00.623697+00:00
138077,28170.0,2020-09-06 08:30:00.888999+00:00
138667,28170.0,2020-09-06 08:31:00.558104+00:00
139257,28170.0,2020-09-06 08:32:00.543043+00:00
139847,28170.0,2020-09-06 08:33:00.539777+00:00
140437,28170.0,2020-09-06 08:34:00.572225+00:00
141027,28170.0,2020-09-06 08:35:00.594200+00:00
141617,28170.0,2020-09-06 08:36:00.546194+00:00
142207,28170.0,2020-09-06 08:37:00.571215+00:00
142797,28170.0,2020-09-06 08:38:00.574571+00:00
143387,28170.0,2020-09-06 08:39:00.560378+00:00
143977,28170.0,2020-09-06 08:40:00.650630+00:00
144567,28170.0,2020-09-06 08:41:00.904183+00:00
145157,28170.0,2020-09-06 08:42:00.548896+00:00
145747,28170.0,2020-09-06 08:43:00.556094+00:00
146337,28170.0,2020-09-06 08:44:00.542673+00:00
146927,28170.0,2020-09-06 08:45:00.631353+00:00
147517,28170.0,2020-09-06 08:46:00.603904+00:00
148107,28170.0,2020-09-06 08:47:00.549395+00:00
148697,28170.0,2020-09-06 08:48:00.555100+00:00
149287,28170.0,2020-09-06 08:49:00.540647+00:00
149877,28170.0,2020-09-06 08:50:00.562834+00:00
150467,28170.0,2020-09-06 08:51:00.570058+00:00
151057,28170.0,2020-09-06 08:52:00.551869+00:00
151647,28170.0,2020-09-06 08:53:00.563711+00:00
152237,28170.0,2020-09-06 08:54:00.544703+00:00
152827,28170.0,2020-09-06 08:55:00.579714+00:00
153417,28170.0,2020-09-06 08:56:00.558856+00:00
154007,28170.0,2020-09-06 08:57:00.538560+00:00
154597,28170.0,2020-09-06 08:58:00.551671+00:00
155187,28170.0,2020-09-06 08:59:00.535060+00:00
155777,28170.0,2020-09-06 09:00:00.666025+00:00
156367,28170.0,2020-09-06 09:01:00.551346+00:00
156957,28170.0,2020-09-06 09:02:00.528574+00:00
157547,28170.0,2020-09-06 09:03:00.549185+00:00
158137,28170.0,2020-09-06 09:04:00.551910+00:00
158727,28170.0,2020-09-06 09:05:00.854663+00:00
159317,28170.0,2020-09-06 09:06:00.551005+00:00
159907,28170.0,2020-09-06 09:07:00.551925+00:00
160497,28170.0,2020-09-06 09:08:00.649090+00:00
161087,28170.0,2020-09-06 09:09:00.537180+00:00
161677,28170.0,2020-09-06 09:10:00.574662+00:00
162267,28170.0,2020-09-06 09:11:00.571799+00:00
162857,28170.0,2020-09-06 09:12:00.536494+00:00
163447,28170.0,2020-09-06 09:13:00.541358+00:00
164037,28170.0,2020-09-06 09:14:00.565652+00:00
164627,28170.0,2020-09-06 09:15:00.591710+00:00
165217,28170.0,2020-09-06 09:16:00.551179+00:00
165807,28170.0,2020-09-06 09:17:00.551186+00:00
166397,28170.0,2020-09-06 09:18:00.570655+00:00
166987,28170.0,2020-09-06 09:19:00.573567+00:00
167577,28170.0,2020-09-06 09:20:00.560156+00:00
168167,28170.0,2020-09-06 09:21:00.546109+00:00
168757,28170.0,2020-09-06 09:22:00.577623+00:00
169346,28170.0,2020-09-06 09:23:00.550007+00:00
169935,28170.0,2020-09-06 09:24:00.536331+00:00
170524,28170.0,2020-09-06 09:25:00.546544+00:00
171113,28170.0,2020-09-06 09:26:00.576331+00:00
171701,28170.0,2020-09-06 09:27:00.559862+00:00
172289,28170.0,2020-09-06 09:28:00.634389+00:00
172877,28170.0,2020-09-06 09:29:00.633690+00:00
173742,26310.0,2020-09-07 04:33:00.372989+00:00
174208,26310.0,2020-09-07 04:34:00.407488+00:00
174719,26310.0,2020-09-07 04:35:00.454158+00:00
175112,26310.0,2020-09-07 04:36:00.435762+00:00
175637,26310.0,2020-09-07 04:37:00.466713+00:00
176162,26310.0,2020-09-07 04:38:00.462059+00:00
176687,26310.0,2020-09-07 04:39:00.435420+00:00
177214,26310.0,2020-09-07 04:40:00.429329+00:00
177742,26310.0,2020-09-07 04:41:00.442415+00:00
178271,26310.0,2020-09-07 04:42:00.426645+00:00
178803,26310.0,2020-09-07 04:43:00.441755+00:00
179335,26310.0,2020-09-07 04:44:00.433071+00:00
179867,26310.0,2020-09-07 04:45:01.272882+00:00
180400,26310.0,2020-09-07 04:46:00.422263+00:00
180937,26310.0,2020-09-07 04:47:00.445304+00:00
181476,26310.0,2020-09-07 04:48:00.446378+00:00
182017,26310.0,2020-09-07 04:49:00.455599+00:00
182558,26310.0,2020-09-07 04:50:00.439053+00:00
183101,26310.0,2020-09-07 04:51:00.442364+00:00
183645,26310.0,2020-09-07 04:52:00.441712+00:00
184191,26310.0,2020-09-07 04:53:00.440270+00:00
184737,26310.0,2020-09-07 04:54:00.446841+00:00
185283,26310.0,2020-09-07 04:55:00.463184+00:00
185829,26310.0,2020-09-07 04:56:00.449899+00:00
186377,26310.0,2020-09-07 04:57:00.450806+00:00
186925,26310.0,2020-09-07 04:58:00.440409+00:00
187473,26310.0,2020-09-07 04:59:00.477310+00:00
188022,26310.0,2020-09-07 05:00:00.577287+00:00
188571,26310.0,2020-09-07 05:01:00.460637+00:00
189120,26310.0,2020-09-07 05:02:00.485745+00:00
189669,26310.0,2020-09-07 05:03:00.604838+00:00
190220,26310.0,2020-09-07 05:04:00.449180+00:00
190771,26310.0,2020-09-07 05:05:00.457380+00:00
191322,26310.0,2020-09-07 05:06:00.474650+00:00
191874,26310.0,2020-09-07 05:07:00.452327+00:00
192426,26310.0,2020-09-07 05:08:00.507475+00:00
192979,26310.0,2020-09-07 05:09:00.459795+00:00
193532,26310.0,2020-09-07 05:10:00.485114+00:00
194086,26310.0,2020-09-07 05:11:00.471690+00:00
194640,26310.0,2020-09-07 05:12:00.465582+00:00
195194,26310.0,2020-09-07 05:13:00.494200+00:00
195749,26310.0,2020-09-07 05:14:00.458496+00:00
196304,26310.0,2020-09-07 05:15:00.471663+00:00
196859,26310.0,2020-09-07 05:16:00.666305+00:00
197416,26310.0,2020-09-07 05:17:00.458096+00:00
197973,26310.0,2020-09-07 05:18:00.469917+00:00
198532,26310.0,2020-09-07 05:19:00.619399+00:00
199091,26310.0,2020-09-07 05:20:00.581824+00:00
199651,26310.0,2020-09-07 05:21:00.551867+00:00
200212,26310.0,2020-09-07 05:22:00.504183+00:00
200774,26310.0,2020-09-07 05:23:00.554077+00:00
201339,26310.0,2020-09-07 05:24:00.477751+00:00
201904,26310.0,2020-09-07 05:25:00.528837+00:00
202470,26310.0,2020-09-07 05:26:00.474303+00:00
203036,26310.0,2020-09-07 05:27:00.490612+00:00
203602,26310.0,2020-09-07 05:28:00.493617+00:00
204169,26310.0,2020-09-07 05:29:00.466423+00:00
204737,26310.0,2020-09-07 05:30:00.564607+00:00
205304,26310.0,2020-09-07 05:31:00.509719+00:00
205871,26310.0,2020-09-07 05:32:00.566820+00:00
206438,26310.0,2020-09-07 05:33:00.482503+00:00
207005,26310.0,2020-09-07 05:34:00.477813+00:00
207572,26310.0,2020-09-07 05:35:00.505289+00:00
208139,26310.0,2020-09-07 05:36:00.470980+00:00
208706,26310.0,2020-09-07 05:37:00.458060+00:00
209272,26310.0,2020-09-07 05:38:00.511519+00:00
209838,26310.0,2020-09-07 05:39:00.527405+00:00
210404,26310.0,2020-09-07 05:40:00.532339+00:00
210970,26310.0,2020-09-07 05:41:00.474497+00:00
211537,26310.0,2020-09-07 05:42:00.471527+00:00
212106,26310.0,2020-09-07 05:43:00.472801+00:00
212675,26310.0,2020-09-07 05:44:00.474356+00:00
213244,26310.0,2020-09-07 05:45:00.558889+00:00
213813,26310.0,2020-09-07 05:46:00.515659+00:00
214382,26310.0,2020-09-07 05:47:00.489508+00:00
214950,26310.0,2020-09-07 05:48:00.519360+00:00
215519,26310.0,2020-09-07 05:49:00.500905+00:00
216088,26310.0,2020-09-07 05:50:00.490181+00:00
216657,26310.0,2020-09-07 05:51:00.479102+00:00
217226,26310.0,2020-09-07 05:52:00.496472+00:00
217795,26310.0,2020-09-07 05:53:00.483057+00:00
218365,26310.0,2020-09-07 05:54:00.476444+00:00
218935,26310.0,2020-09-07 05:55:00.521971+00:00
219505,26310.0,2020-09-07 05:56:00.492934+00:00
220075,26310.0,2020-09-07 05:57:00.547602+00:00
220646,26310.0,2020-09-07 05:58:00.546412+00:00
221218,26310.0,2020-09-07 05:59:00.657830+00:00
221790,26310.0,2020-09-07 06:00:00.525688+00:00
222362,26310.0,2020-09-07 06:01:00.479409+00:00
222935,26310.0,2020-09-07 06:02:00.476754+00:00
223508,26310.0,2020-09-07 06:03:00.507101+00:00
224081,26310.0,2020-09-07 06:04:00.506848+00:00
224653,26310.0,2020-09-07 06:05:00.494347+00:00
225225,26310.0,2020-09-07 06:06:00.478623+00:00
225797,26310.0,2020-09-07 06:07:00.479332+00:00
226369,26310.0,2020-09-07 06:08:00.477974+00:00
226941,26310.0,2020-09-07 06:09:00.509798+00:00
227514,26310.0,2020-09-07 06:10:11.016664+00:00
228087,26310.0,2020-09-07 06:11:00.500581+00:00
228660,26310.0,2020-09-07 06:12:00.492460+00:00
229233,26310.0,2020-09-07 06:13:00.568859+00:00
229806,26310.0,2020-09-07 06:14:00.500205+00:00
230380,26310.0,2020-09-07 06:15:00.512561+00:00
230954,26310.0,2020-09-07 06:16:00.507893+00:00
231528,26310.0,2020-09-07 06:17:00.478684+00:00
232102,26310.0,2020-09-07 06:18:00.492275+00:00
