,Price,Date
186,14510.0,2020-09-05 09:19:41.898210+00:00
774,14510.0,2020-09-05 09:29:21.147722+00:00
1362,14510.0,2020-09-05 09:31:34.762005+00:00
3515,13980.0,2020-09-06 04:36:00.426999+00:00
4065,13980.0,2020-09-06 04:37:00.478911+00:00
4619,13980.0,2020-09-06 04:38:00.498991+00:00
5174,13980.0,2020-09-06 04:39:00.465658+00:00
5731,13980.0,2020-09-06 04:40:00.572759+00:00
6289,13980.0,2020-09-06 04:41:00.525221+00:00
6847,13980.0,2020-09-06 04:42:00.444974+00:00
7408,13980.0,2020-09-06 04:43:00.458580+00:00
7969,14040.0,2020-09-06 04:44:00.554051+00:00
8531,14125.0,2020-09-06 04:45:00.488236+00:00
9093,14125.0,2020-09-06 04:46:00.508798+00:00
9655,14125.0,2020-09-06 04:47:00.536000+00:00
10217,14125.0,2020-09-06 04:48:00.473127+00:00
10779,14125.0,2020-09-06 04:49:00.562694+00:00
11341,14125.0,2020-09-06 04:50:00.525672+00:00
11905,14125.0,2020-09-06 04:51:00.483470+00:00
12469,14125.0,2020-09-06 04:52:00.460759+00:00
13033,14125.0,2020-09-06 04:53:00.476465+00:00
13597,14125.0,2020-09-06 04:54:00.510270+00:00
14161,14125.0,2020-09-06 04:55:00.470591+00:00
14725,14125.0,2020-09-06 04:56:00.522437+00:00
15289,14125.0,2020-09-06 04:57:00.475149+00:00
15853,14125.0,2020-09-06 04:58:00.510106+00:00
16418,14125.0,2020-09-06 04:59:00.619712+00:00
16984,14125.0,2020-09-06 05:00:00.604708+00:00
17550,14125.0,2020-09-06 05:01:00.533440+00:00
18116,14125.0,2020-09-06 05:02:00.486959+00:00
18682,14125.0,2020-09-06 05:03:00.504719+00:00
19248,14125.0,2020-09-06 05:04:00.530643+00:00
19814,14125.0,2020-09-06 05:05:00.525570+00:00
20381,14125.0,2020-09-06 05:06:00.532732+00:00
20948,14125.0,2020-09-06 05:07:00.529394+00:00
21515,14125.0,2020-09-06 05:08:00.515874+00:00
22082,14125.0,2020-09-06 05:09:00.570413+00:00
22650,14125.0,2020-09-06 05:10:00.517858+00:00
23219,14125.0,2020-09-06 05:11:00.466954+00:00
23788,14125.0,2020-09-06 05:12:00.488593+00:00
24357,14125.0,2020-09-06 05:13:00.522650+00:00
24926,14125.0,2020-09-06 05:14:00.493888+00:00
25495,14125.0,2020-09-06 05:15:00.498272+00:00
26064,14125.0,2020-09-06 05:16:00.481535+00:00
26633,14125.0,2020-09-06 05:17:00.483216+00:00
27203,14125.0,2020-09-06 05:18:00.489607+00:00
27773,14125.0,2020-09-06 05:19:00.517407+00:00
28343,14125.0,2020-09-06 05:20:00.500516+00:00
28914,14125.0,2020-09-06 05:21:00.497639+00:00
29485,14125.0,2020-09-06 05:22:00.481686+00:00
30056,14125.0,2020-09-06 05:23:00.491044+00:00
30627,14125.0,2020-09-06 05:24:00.545054+00:00
31198,14125.0,2020-09-06 05:25:00.552824+00:00
31769,14125.0,2020-09-06 05:26:00.503694+00:00
32341,14125.0,2020-09-06 05:27:00.506332+00:00
32914,14125.0,2020-09-06 05:28:00.498135+00:00
33487,14125.0,2020-09-06 05:29:00.511542+00:00
34060,14125.0,2020-09-06 05:30:00.557526+00:00
34633,14125.0,2020-09-06 05:31:00.549243+00:00
35206,14125.0,2020-09-06 05:32:00.540531+00:00
35780,14125.0,2020-09-06 05:33:00.533807+00:00
36354,14125.0,2020-09-06 05:34:00.581113+00:00
36928,14125.0,2020-09-06 05:35:00.529200+00:00
37502,14125.0,2020-09-06 05:36:00.531521+00:00
38076,14125.0,2020-09-06 05:37:00.516440+00:00
