,Price,Date
69,10510.0,2020-09-05 09:19:41.887157+00:00
657,10510.0,2020-09-05 09:29:21.136719+00:00
1245,10510.0,2020-09-05 09:31:34.749005+00:00
2043,10150.0,2020-09-06 04:33:00.410083+00:00
2491,10150.0,2020-09-06 04:34:00.426735+00:00
2950,10150.0,2020-09-06 04:35:00.662078+00:00
3401,10090.0,2020-09-06 04:36:00.424393+00:00
3951,10130.0,2020-09-06 04:37:00.476704+00:00
4505,10130.0,2020-09-06 04:38:00.496821+00:00
5060,10200.0,2020-09-06 04:39:00.463421+00:00
5617,10205.0,2020-09-06 04:40:00.570573+00:00
6175,10205.0,2020-09-06 04:41:00.523013+00:00
6733,10210.0,2020-09-06 04:42:00.442734+00:00
7294,10280.0,2020-09-06 04:43:00.456395+00:00
7855,10280.0,2020-09-06 04:44:00.551864+00:00
8417,10280.0,2020-09-06 04:45:00.485899+00:00
8979,10280.0,2020-09-06 04:46:00.506578+00:00
9541,10280.0,2020-09-06 04:47:00.533740+00:00
10103,10280.0,2020-09-06 04:48:00.470797+00:00
10665,10280.0,2020-09-06 04:49:00.560387+00:00
11227,10280.0,2020-09-06 04:50:00.523386+00:00
11790,10280.0,2020-09-06 04:51:00.481137+00:00
12354,10280.0,2020-09-06 04:52:00.458461+00:00
12918,10280.0,2020-09-06 04:53:00.474287+00:00
13482,10280.0,2020-09-06 04:54:00.508014+00:00
14046,10280.0,2020-09-06 04:55:00.468323+00:00
14610,10280.0,2020-09-06 04:56:00.520073+00:00
15174,10280.0,2020-09-06 04:57:00.472871+00:00
15738,10280.0,2020-09-06 04:58:00.507845+00:00
16303,10275.0,2020-09-06 04:59:00.617445+00:00
16869,10190.0,2020-09-06 05:00:00.602398+00:00
17435,10190.0,2020-09-06 05:01:00.531211+00:00
18001,10180.0,2020-09-06 05:02:00.484778+00:00
18567,10180.0,2020-09-06 05:03:00.502508+00:00
19133,10180.0,2020-09-06 05:04:00.528374+00:00
19699,10180.0,2020-09-06 05:05:00.523306+00:00
20266,10175.0,2020-09-06 05:06:00.530486+00:00
20833,10175.0,2020-09-06 05:07:00.527126+00:00
21400,10175.0,2020-09-06 05:08:00.513640+00:00
21967,10175.0,2020-09-06 05:09:00.568124+00:00
22535,10175.0,2020-09-06 05:10:00.515626+00:00
23104,10175.0,2020-09-06 05:11:00.464689+00:00
23673,10175.0,2020-09-06 05:12:00.486224+00:00
24242,10165.0,2020-09-06 05:13:00.520421+00:00
24811,10165.0,2020-09-06 05:14:00.491629+00:00
25380,10150.0,2020-09-06 05:15:00.496022+00:00
25949,10150.0,2020-09-06 05:16:00.479235+00:00
26518,10150.0,2020-09-06 05:17:00.480965+00:00
27088,10150.0,2020-09-06 05:18:00.487456+00:00
27658,10150.0,2020-09-06 05:19:00.515082+00:00
28228,10150.0,2020-09-06 05:20:00.498189+00:00
28799,10150.0,2020-09-06 05:21:00.495382+00:00
29370,10135.0,2020-09-06 05:22:00.479496+00:00
29941,10130.0,2020-09-06 05:23:00.488812+00:00
30512,10130.0,2020-09-06 05:24:00.542723+00:00
31083,10130.0,2020-09-06 05:25:00.550414+00:00
31654,10130.0,2020-09-06 05:26:00.501426+00:00
32225,10130.0,2020-09-06 05:27:00.504117+00:00
32798,10130.0,2020-09-06 05:28:00.495944+00:00
33371,10130.0,2020-09-06 05:29:00.509219+00:00
33944,10130.0,2020-09-06 05:30:00.555178+00:00
34517,10130.0,2020-09-06 05:31:00.546340+00:00
35090,10130.0,2020-09-06 05:32:00.538034+00:00
35664,10130.0,2020-09-06 05:33:00.531578+00:00
36238,10130.0,2020-09-06 05:34:00.578861+00:00
36812,10130.0,2020-09-06 05:35:00.526878+00:00
37386,10130.0,2020-09-06 05:36:00.528940+00:00
37960,10130.0,2020-09-06 05:37:00.514100+00:00
38534,10130.0,2020-09-06 05:38:00.542995+00:00
39108,10130.0,2020-09-06 05:39:00.545393+00:00
39682,10130.0,2020-09-06 05:40:00.558906+00:00
40256,10130.0,2020-09-06 05:41:00.531157+00:00
40830,10130.0,2020-09-06 05:42:00.525411+00:00
41404,10130.0,2020-09-06 05:43:00.542147+00:00
41978,10130.0,2020-09-06 05:44:00.583193+00:00
42552,10130.0,2020-09-06 05:45:00.570601+00:00
43126,10130.0,2020-09-06 05:46:00.665959+00:00
43700,10130.0,2020-09-06 05:47:00.658976+00:00
44274,10130.0,2020-09-06 05:48:00.509010+00:00
44848,10130.0,2020-09-06 05:49:00.512939+00:00
45422,10130.0,2020-09-06 05:50:00.524000+00:00
45996,10130.0,2020-09-06 05:51:00.616594+00:00
46570,10130.0,2020-09-06 05:52:00.570650+00:00
47144,10130.0,2020-09-06 05:53:00.557828+00:00
47718,10130.0,2020-09-06 05:54:00.539024+00:00
48292,10130.0,2020-09-06 05:55:00.535932+00:00
48866,10130.0,2020-09-06 05:56:00.522420+00:00
49440,10130.0,2020-09-06 05:57:00.512119+00:00
